"year";"plot";"focal";"neighbour";"magnitude"
2020;1;"MEEL";"BEMA";NA
2021;1;"MEEL";"BEMA";NA
2015;2;"MEEL";"BEMA";-0,00208172549758015
2016;2;"MEEL";"BEMA";-0,0032685006736981
2017;2;"MEEL";"BEMA";0,00137172536350825
2018;2;"MEEL";"BEMA";NA
2019;2;"MEEL";"BEMA";0,0101589131901015
2020;2;"MEEL";"BEMA";NA
2021;2;"MEEL";"BEMA";0,00433534170130088
2015;3;"MEEL";"BEMA";-0,00372770059939779
2016;3;"MEEL";"BEMA";NA
2017;3;"MEEL";"BEMA";NA
2018;3;"MEEL";"BEMA";NA
2019;3;"MEEL";"BEMA";NA
2020;3;"MEEL";"BEMA";NA
2021;3;"MEEL";"BEMA";NA
2015;4;"MEEL";"BEMA";NA
2016;4;"MEEL";"BEMA";0,0231599588699903
2017;4;"MEEL";"BEMA";NA
2018;4;"MEEL";"BEMA";NA
2019;4;"MEEL";"BEMA";NA
2020;4;"MEEL";"BEMA";NA
2021;4;"MEEL";"BEMA";NA
2015;5;"MEEL";"BEMA";NA
2016;5;"MEEL";"BEMA";-0,0302376360955705
2017;5;"MEEL";"BEMA";NA
2018;5;"MEEL";"BEMA";NA
2019;5;"MEEL";"BEMA";0,0140550093875551
2020;5;"MEEL";"BEMA";NA
2021;5;"MEEL";"BEMA";0,00512884502179688
2015;6;"MEEL";"BEMA";-0,000421752197710803
2016;6;"MEEL";"BEMA";-0,0319832089357309
2017;6;"MEEL";"BEMA";NA
2018;6;"MEEL";"BEMA";NA
2019;6;"MEEL";"BEMA";NA
2020;6;"MEEL";"BEMA";NA
2021;6;"MEEL";"BEMA";NA
2015;7;"MEEL";"BEMA";NA
2016;7;"MEEL";"BEMA";0,010297121509557
2017;7;"MEEL";"BEMA";NA
2018;7;"MEEL";"BEMA";NA
2019;7;"MEEL";"BEMA";NA
2020;7;"MEEL";"BEMA";NA
2021;7;"MEEL";"BEMA";NA
2015;8;"MEEL";"BEMA";NA
2016;8;"MEEL";"BEMA";0,0205127727489012
2017;8;"MEEL";"BEMA";NA
2018;8;"MEEL";"BEMA";NA
2019;8;"MEEL";"BEMA";NA
2020;8;"MEEL";"BEMA";NA
2021;8;"MEEL";"BEMA";NA
2015;9;"MEEL";"BEMA";NA
2016;9;"MEEL";"BEMA";NA
2017;9;"MEEL";"BEMA";NA
2018;9;"MEEL";"BEMA";NA
2019;9;"MEEL";"BEMA";NA
2020;9;"MEEL";"BEMA";NA
2021;9;"MEEL";"BEMA";NA
2015;1;"MESU";"BEMA";0,0181859568909648
2016;1;"MESU";"BEMA";0,0187991976839569
2017;1;"MESU";"BEMA";-0,0123390924652072
2018;1;"MESU";"BEMA";NA
2019;1;"MESU";"BEMA";-0,00751542242506555
2020;1;"MESU";"BEMA";NA
2021;1;"MESU";"BEMA";-0,0174384708315083
2015;2;"MESU";"BEMA";-0,134124894107528
2016;2;"MESU";"BEMA";0,371043510891437
2017;2;"MESU";"BEMA";-0,00899145582873368
2018;2;"MESU";"BEMA";NA
2019;2;"MESU";"BEMA";-0,0111777603292336
2020;2;"MESU";"BEMA";NA
2021;2;"MESU";"BEMA";-0,0131790597136226
2015;3;"MESU";"BEMA";0,0979289917370166
2016;3;"MESU";"BEMA";-0,0632556668516322
2017;3;"MESU";"BEMA";-0,0070540067020889
2018;3;"MESU";"BEMA";NA
2019;3;"MESU";"BEMA";-0,00318366801815738
2020;3;"MESU";"BEMA";NA
2021;3;"MESU";"BEMA";-0,0131455085496616
2015;4;"MESU";"BEMA";NA
2016;4;"MESU";"BEMA";0,179526892555199
2017;4;"MESU";"BEMA";NA
2018;4;"MESU";"BEMA";NA
2019;4;"MESU";"BEMA";-0,00373916226859903
2020;4;"MESU";"BEMA";NA
2021;4;"MESU";"BEMA";-0,0114368010834241
2015;5;"MESU";"BEMA";NA
2016;5;"MESU";"BEMA";-0,161521746313431
2017;5;"MESU";"BEMA";NA
2018;5;"MESU";"BEMA";NA
2019;5;"MESU";"BEMA";NA
2020;5;"MESU";"BEMA";NA
2021;5;"MESU";"BEMA";-0,00708360104915739
2015;6;"MESU";"BEMA";-0,010627997106887
2016;6;"MESU";"BEMA";0,170703756236811
2017;6;"MESU";"BEMA";NA
2018;6;"MESU";"BEMA";NA
2019;6;"MESU";"BEMA";NA
2020;6;"MESU";"BEMA";NA
2021;6;"MESU";"BEMA";NA
2015;7;"MESU";"BEMA";NA
2016;7;"MESU";"BEMA";-0,204643952556064
2017;7;"MESU";"BEMA";NA
2018;7;"MESU";"BEMA";NA
2019;7;"MESU";"BEMA";-0,0180453463973058
2020;7;"MESU";"BEMA";0,0913300838730205
2021;7;"MESU";"BEMA";-0,0117782208717665
2015;8;"MESU";"BEMA";NA
2016;8;"MESU";"BEMA";-0,0173439301272818
2017;8;"MESU";"BEMA";NA
2018;8;"MESU";"BEMA";NA
2019;8;"MESU";"BEMA";-0,0147925018212691
2020;8;"MESU";"BEMA";0,0467953158911637
2021;8;"MESU";"BEMA";-0,015096868398944
2015;9;"MESU";"BEMA";NA
2016;9;"MESU";"BEMA";0,115885679197768
2017;9;"MESU";"BEMA";NA
2018;9;"MESU";"BEMA";NA
2019;9;"MESU";"BEMA";-0,00479546878372927
2020;9;"MESU";"BEMA";0,0306004370524738
2021;9;"MESU";"BEMA";NA
2015;1;"PAIN";"BEMA";-0,0897874858956042
2016;1;"PAIN";"BEMA";-0,0199958697308807
2017;1;"PAIN";"BEMA";0,0148637088954175
2018;1;"PAIN";"BEMA";NA
2019;1;"PAIN";"BEMA";-0,00886998306091101
2020;1;"PAIN";"BEMA";-0,00636387171223951
2021;1;"PAIN";"BEMA";-0,0188865486573848
2015;2;"PAIN";"BEMA";0,297401321431623
2016;2;"PAIN";"BEMA";-0,00434959632628534
2017;2;"PAIN";"BEMA";0,0352418878251157
2018;2;"PAIN";"BEMA";0,00791647401520532
2019;2;"PAIN";"BEMA";-0,011127102322967
2020;2;"PAIN";"BEMA";-0,0272747160057873
2021;2;"PAIN";"BEMA";-0,100195190179833
2015;3;"PAIN";"BEMA";0,0493788017043973
2016;3;"PAIN";"BEMA";-0,0185394936511833
2017;3;"PAIN";"BEMA";0,0275762014408989
2018;3;"PAIN";"BEMA";0,0110332756362317
2019;3;"PAIN";"BEMA";-0,00809878959758293
2020;3;"PAIN";"BEMA";0,0142277374531696
2021;3;"PAIN";"BEMA";0,0335570490608054
2015;4;"PAIN";"BEMA";-0,00747825521567034
2016;4;"PAIN";"BEMA";-0,00920752966925383
2017;4;"PAIN";"BEMA";0,0294875054868022
2018;4;"PAIN";"BEMA";0,00723469265266918
2019;4;"PAIN";"BEMA";-0,00995310281585703
2020;4;"PAIN";"BEMA";-0,0205230119181836
2021;4;"PAIN";"BEMA";-0,017255964112738
2015;5;"PAIN";"BEMA";0,106187829113928
2016;5;"PAIN";"BEMA";-0,0158426620735487
2017;5;"PAIN";"BEMA";0,00899133875552272
2018;5;"PAIN";"BEMA";NA
2019;5;"PAIN";"BEMA";-0,00711136599816362
2020;5;"PAIN";"BEMA";-0,0429589259847163
2021;5;"PAIN";"BEMA";1,55110728100867e-05
2015;6;"PAIN";"BEMA";0,0547821899277734
2016;6;"PAIN";"BEMA";-0,00810755955327326
2017;6;"PAIN";"BEMA";0,0237247178113011
2018;6;"PAIN";"BEMA";0,00418433687802245
2019;6;"PAIN";"BEMA";-0,00766492495886675
2020;6;"PAIN";"BEMA";0,0685280217278944
2021;6;"PAIN";"BEMA";-0,111417198215502
2015;7;"PAIN";"BEMA";NA
2016;7;"PAIN";"BEMA";-0,0480117011365431
2017;7;"PAIN";"BEMA";NA
2018;7;"PAIN";"BEMA";NA
2019;7;"PAIN";"BEMA";-0,000951210754919445
2020;7;"PAIN";"BEMA";0,0492230083057662
2021;7;"PAIN";"BEMA";-0,0426061361679764
2015;8;"PAIN";"BEMA";NA
2016;8;"PAIN";"BEMA";0,16963263304931
2017;8;"PAIN";"BEMA";NA
2018;8;"PAIN";"BEMA";NA
2019;8;"PAIN";"BEMA";-0,0036420315598443
2020;8;"PAIN";"BEMA";-0,0071700826615458
2021;8;"PAIN";"BEMA";-0,00276511379324012
2015;9;"PAIN";"BEMA";NA
2016;9;"PAIN";"BEMA";0,0298815488247664
2017;9;"PAIN";"BEMA";NA
2018;9;"PAIN";"BEMA";NA
2019;9;"PAIN";"BEMA";-0,00921099485816871
2020;9;"PAIN";"BEMA";-0,000616281456199928
2021;9;"PAIN";"BEMA";0,00316506113934061
2015;1;"PLCO";"BEMA";0,00576887184519623
2016;1;"PLCO";"BEMA";0,0023112371256822
2017;1;"PLCO";"BEMA";-0,000676792407750285
2018;1;"PLCO";"BEMA";NA
2019;1;"PLCO";"BEMA";NA
2020;1;"PLCO";"BEMA";-0,0046867830629369
2021;1;"PLCO";"BEMA";-0,000279872329141141
2015;2;"PLCO";"BEMA";0,00128001019670355
2016;2;"PLCO";"BEMA";0,000680788591585099
2017;2;"PLCO";"BEMA";NA
2018;2;"PLCO";"BEMA";NA
2019;2;"PLCO";"BEMA";NA
2020;2;"PLCO";"BEMA";-0,0168908925078439
2021;2;"PLCO";"BEMA";0,00762780238157553
2015;3;"PLCO";"BEMA";0,012029242301975
2016;3;"PLCO";"BEMA";0,000236077927564625
2017;3;"PLCO";"BEMA";-0,00152272890623337
2018;3;"PLCO";"BEMA";NA
2019;3;"PLCO";"BEMA";NA
