"year";"plot";"sp";"lambda"
2018;8;"LEMA";NA
2019;8;"LEMA";1029,761424531
2020;8;"LEMA";436,466587926305
2021;8;"LEMA";572,748276033497
2015;9;"LEMA";NA
2016;9;"LEMA";132,024970847359
2017;9;"LEMA";NA
2018;9;"LEMA";NA
2019;9;"LEMA";1029,761424531
2020;9;"LEMA";436,466587926305
2021;9;"LEMA";572,748276033497
2015;1;"MEEL";35,8762656250697
2016;1;"MEEL";15,0328329523414
2017;1;"MEEL";NA
2018;1;"MEEL";NA
2019;1;"MEEL";150,516207287228
2020;1;"MEEL";NA
2021;1;"MEEL";NA
2015;2;"MEEL";35,8762656250697
2016;2;"MEEL";15,0328329523414
2017;2;"MEEL";54,6580362612528
2018;2;"MEEL";NA
2019;2;"MEEL";150,516207287228
2020;2;"MEEL";NA
2021;2;"MEEL";112,779519470771
2015;3;"MEEL";35,8762656250697
2016;3;"MEEL";NA
2017;3;"MEEL";NA
2018;3;"MEEL";NA
2019;3;"MEEL";NA
2020;3;"MEEL";NA
2021;3;"MEEL";NA
2015;4;"MEEL";NA
2016;4;"MEEL";15,0328329523414
2017;4;"MEEL";NA
2018;4;"MEEL";NA
2019;4;"MEEL";NA
2020;4;"MEEL";NA
2021;4;"MEEL";NA
2015;5;"MEEL";NA
2016;5;"MEEL";15,0328329523414
2017;5;"MEEL";NA
2018;5;"MEEL";NA
2019;5;"MEEL";150,516207287228
2020;5;"MEEL";NA
2021;5;"MEEL";112,779519470771
2015;6;"MEEL";35,8762656250697
2016;6;"MEEL";15,0328329523414
2017;6;"MEEL";NA
2018;6;"MEEL";NA
2019;6;"MEEL";NA
2020;6;"MEEL";NA
2021;6;"MEEL";NA
2015;7;"MEEL";NA
2016;7;"MEEL";15,0328329523414
2017;7;"MEEL";NA
2018;7;"MEEL";NA
2019;7;"MEEL";NA
2020;7;"MEEL";NA
2021;7;"MEEL";NA
2015;8;"MEEL";NA
2016;8;"MEEL";15,0328329523414
2017;8;"MEEL";NA
2018;8;"MEEL";NA
2019;8;"MEEL";NA
2020;8;"MEEL";NA
2021;8;"MEEL";NA
2015;9;"MEEL";NA
2016;9;"MEEL";NA
2017;9;"MEEL";NA
2018;9;"MEEL";NA
2019;9;"MEEL";NA
