"year";"plot";"focal";"neighbour";"magnitude"
2021;3;"MEEL";"BEMA";NA
2015;4;"MEEL";"BEMA";NA
2016;4;"MEEL";"BEMA";-0,029758190804269
2017;4;"MEEL";"BEMA";NA
2018;4;"MEEL";"BEMA";NA
2019;4;"MEEL";"BEMA";NA
2020;4;"MEEL";"BEMA";NA
2021;4;"MEEL";"BEMA";NA
2015;5;"MEEL";"BEMA";NA
2016;5;"MEEL";"BEMA";-0,029758190804269
2017;5;"MEEL";"BEMA";NA
2018;5;"MEEL";"BEMA";NA
2019;5;"MEEL";"BEMA";NA
2020;5;"MEEL";"BEMA";NA
2021;5;"MEEL";"BEMA";NA
2015;6;"MEEL";"BEMA";NA
2016;6;"MEEL";"BEMA";-0,029758190804269
2017;6;"MEEL";"BEMA";NA
2018;6;"MEEL";"BEMA";NA
2019;6;"MEEL";"BEMA";NA
2020;6;"MEEL";"BEMA";NA
2021;6;"MEEL";"BEMA";NA
2015;7;"MEEL";"BEMA";NA
2016;7;"MEEL";"BEMA";-0,029758190804269
2017;7;"MEEL";"BEMA";NA
2018;7;"MEEL";"BEMA";NA
2019;7;"MEEL";"BEMA";NA
2020;7;"MEEL";"BEMA";NA
2021;7;"MEEL";"BEMA";NA
2015;8;"MEEL";"BEMA";NA
2016;8;"MEEL";"BEMA";-0,029758190804269
2017;8;"MEEL";"BEMA";NA
2018;8;"MEEL";"BEMA";NA
2019;8;"MEEL";"BEMA";NA
2020;8;"MEEL";"BEMA";NA
2021;8;"MEEL";"BEMA";NA
2015;9;"MEEL";"BEMA";NA
2016;9;"MEEL";"BEMA";NA
2017;9;"MEEL";"BEMA";NA
2018;9;"MEEL";"BEMA";NA
2019;9;"MEEL";"BEMA";NA
2020;9;"MEEL";"BEMA";NA
2021;9;"MEEL";"BEMA";NA
2015;1;"MESU";"BEMA";NA
2016;1;"MESU";"BEMA";-0,138515600844365
2017;1;"MESU";"BEMA";NA
2018;1;"MESU";"BEMA";NA
2019;1;"MESU";"BEMA";NA
2020;1;"MESU";"BEMA";NA
2021;1;"MESU";"BEMA";-0,00516613647284236
2015;2;"MESU";"BEMA";-0,0410823392669526
2016;2;"MESU";"BEMA";-0,138515600844365
2017;2;"MESU";"BEMA";NA
2018;2;"MESU";"BEMA";NA
2019;2;"MESU";"BEMA";NA
2020;2;"MESU";"BEMA";NA
2021;2;"MESU";"BEMA";-0,00516613647284236
2015;3;"MESU";"BEMA";-0,0410823392669526
2016;3;"MESU";"BEMA";-0,138515600844365
2017;3;"MESU";"BEMA";NA
2018;3;"MESU";"BEMA";NA
2019;3;"MESU";"BEMA";NA
2020;3;"MESU";"BEMA";NA
2021;3;"MESU";"BEMA";-0,00516613647284236
2015;4;"MESU";"BEMA";NA
2016;4;"MESU";"BEMA";-0,138515600844365
2017;4;"MESU";"BEMA";NA
2018;4;"MESU";"BEMA";NA
2019;4;"MESU";"BEMA";NA
2020;4;"MESU";"BEMA";NA
2021;4;"MESU";"BEMA";NA
2015;5;"MESU";"BEMA";NA
